age,job,marital,education,balance,housing,loan,contact,day,month,duration
38,technician,married,secondary,253,yes,no,unknown,5,may,416
36,admin.,married,tertiary,211,yes,no,unknown,5,may,146
58,retired,married,primary,235,yes,no,unknown,5,may,167
40,services,divorced,unknown,4384,yes,no,unknown,5,may,315
54,management,married,secondary,4080,no,no,unknown,5,may,140
34,blue-collar,single,secondary,53,yes,yes,unknown,5,may,346
31,management,single,tertiary,0,yes,no,unknown,5,may,562
51,retired,married,secondary,2127,yes,no,unknown,5,may,172
33,management,married,tertiary,377,yes,no,unknown,5,may,217
55,management,married,tertiary,73,yes,no,unknown,5,may,142
42,admin.,married,secondary,445,yes,no,unknown,5,may,67
34,blue-collar,married,secondary,243,yes,no,unknown,5,may,291
33,blue-collar,single,secondary,307,yes,no,unknown,5,may,309
38,services,married,secondary,155,yes,no,unknown,5,may,248
50,technician,divorced,tertiary,173,no,yes,unknown,5,may,98
43,management,married,tertiary,400,yes,no,unknown,5,may,256
61,blue-collar,divorced,primary,1428,yes,no,unknown,5,may,82
47,admin.,married,secondary,219,yes,no,unknown,5,may,577
48,self-employed,married,tertiary,7,yes,no,unknown,5,may,286
44,blue-collar,married,secondary,575,yes,no,unknown,5,may,477
35,student,single,unknown,298,yes,no,unknown,5,may,611
35,services,married,secondary,0,yes,no,unknown,5,may,471
50,services,married,secondary,5699,yes,no,unknown,5,may,381
41,management,married,tertiary,176,yes,yes,unknown,5,may,42
41,management,married,tertiary,517,yes,no,unknown,5,may,251
39,services,single,unknown,257,yes,no,unknown,5,may,408
42,retired,married,secondary,56,yes,no,unknown,5,may,215
38,blue-collar,married,secondary,-390,yes,no,unknown,5,may,287
53,retired,married,secondary,330,yes,no,unknown,5,may,216
59,housemaid,divorced,primary,195,no,no,unknown,5,may,366
36,services,married,secondary,301,yes,no,unknown,5,may,210
54,blue-collar,married,primary,-41,yes,no,unknown,5,may,288
40,technician,married,tertiary,483,yes,no,unknown,5,may,168
47,unknown,married,unknown,28,no,no,unknown,5,may,338
53,unemployed,married,unknown,13,no,no,unknown,5,may,410
46,housemaid,married,primary,965,no,no,unknown,5,may,177
39,management,married,tertiary,378,yes,yes,unknown,5,may,127
40,unemployed,married,secondary,219,yes,no,unknown,5,may,357
28,blue-collar,married,primary,324,yes,no,unknown,5,may,175
35,entrepreneur,divorced,secondary,-69,yes,no,unknown,5,may,300
55,retired,married,secondary,0,no,yes,unknown,5,may,136
43,technician,divorced,unknown,205,yes,no,unknown,5,may,1419
48,blue-collar,married,primary,278,yes,no,unknown,5,may,125
58,management,married,unknown,1065,yes,no,unknown,5,may,213
33,management,single,tertiary,34,yes,no,unknown,5,may,27
36,blue-collar,married,unknown,1033,no,no,unknown,5,may,238
53,services,divorced,secondary,1467,yes,no,unknown,5,may,124
47,blue-collar,married,primary,-12,yes,no,unknown,5,may,18
31,services,married,secondary,388,yes,no,unknown,5,may,730
57,entrepreneur,married,secondary,294,yes,no,unknown,5,may,746
53,blue-collar,married,unknown,1827,no,no,unknown,5,may,121
55,blue-collar,married,primary,627,yes,no,unknown,5,may,247
45,blue-collar,married,primary,25,yes,no,unknown,5,may,40
53,admin.,divorced,secondary,315,yes,no,unknown,5,may,181
37,blue-collar,married,primary,0,yes,no,unknown,5,may,79
44,admin.,divorced,secondary,66,yes,no,unknown,5,may,206
49,blue-collar,divorced,primary,-9,yes,yes,unknown,5,may,389
46,technician,married,secondary,349,yes,yes,unknown,5,may,127
43,entrepreneur,married,unknown,100,yes,no,unknown,5,may,702
38,admin.,married,secondary,0,no,no,unknown,5,may,151
43,technician,married,secondary,434,yes,no,unknown,5,may,117
49,management,married,tertiary,3237,yes,no,unknown,5,may,232
42,management,married,unknown,275,no,no,unknown,5,may,408
22,blue-collar,single,secondary,0,yes,no,unknown,5,may,179
40,management,married,tertiary,207,yes,no,unknown,5,may,39
39,blue-collar,married,secondary,483,yes,no,unknown,5,may,282
51,services,married,secondary,2248,yes,no,unknown,5,may,714
49,admin.,married,secondary,428,yes,no,unknown,5,may,50
53,blue-collar,married,secondary,0,yes,yes,unknown,5,may,181
34,services,single,secondary,0,yes,no,unknown,5,may,142
33,technician,divorced,secondary,140,yes,no,unknown,5,may,227
50,management,single,tertiary,297,yes,no,unknown,5,may,119
39,blue-collar,married,primary,279,yes,no,unknown,5,may,361
59,entrepreneur,divorced,secondary,901,yes,no,unknown,5,may,73
30,technician,single,secondary,2573,yes,no,unknown,5,may,67
36,services,married,secondary,143,yes,yes,unknown,5,may,350
40,blue-collar,married,secondary,475,yes,no,unknown,5,may,332
53,blue-collar,married,secondary,70,yes,no,unknown,5,may,611
34,management,single,tertiary,318,yes,no,unknown,5,may,113
37,technician,married,secondary,275,yes,no,unknown,5,may,132
42,management,divorced,tertiary,742,yes,no,unknown,5,may,58
41,entrepreneur,married,primary,236,yes,no,unknown,5,may,151
30,student,single,tertiary,25,yes,no,unknown,5,may,89
37,management,single,tertiary,600,yes,no,unknown,5,may,152
39,admin.,divorced,secondary,-349,yes,no,unknown,5,may,611
41,blue-collar,married,primary,183,yes,yes,unknown,5,may,110
40,blue-collar,married,primary,0,yes,no,unknown,5,may,463
42,management,single,tertiary,0,yes,yes,unknown,5,may,562
40,blue-collar,divorced,primary,0,yes,no,unknown,5,may,962
57,technician,married,secondary,1078,yes,no,unknown,5,may,10
56,entrepreneur,divorced,secondary,155,no,no,unknown,5,may,118
37,admin.,married,secondary,190,yes,no,unknown,5,may,92
59,retired,married,secondary,319,yes,no,unknown,5,may,143
39,services,divorced,secondary,-185,yes,no,unknown,5,may,189
49,services,married,secondary,47,no,no,unknown,5,may,234
38,services,single,secondary,570,yes,no,unknown,5,may,75
36,self-employed,married,tertiary,19,no,no,unknown,5,may,189
50,blue-collar,married,primary,61,yes,no,unknown,5,may,621
41,admin.,married,secondary,-62,yes,yes,unknown,5,may,55
54,technician,married,tertiary,258,no,no,unknown,5,may,310
58,blue-collar,married,primary,76,yes,no,unknown,5,may,156
30,blue-collar,single,secondary,0,yes,no,unknown,5,may,5
33,admin.,single,secondary,352,yes,no,unknown,5,may,225
47,admin.,married,secondary,368,yes,no,unknown,5,may,125
50,technician,single,tertiary,339,yes,no,unknown,5,may,2
32,blue-collar,married,secondary,1331,yes,no,unknown,5,may,286
40,self-employed,married,secondary,672,yes,no,unknown,5,may,164
37,management,married,tertiary,58,yes,no,unknown,5,may,98
54,technician,single,unknown,447,yes,no,unknown,5,may,742
24,student,single,secondary,423,yes,no,unknown,5,may,226
54,management,married,tertiary,0,no,no,unknown,5,may,120
34,technician,married,secondary,19,yes,no,unknown,5,may,362
56,technician,divorced,primary,13,yes,no,unknown,5,may,357
31,blue-collar,single,secondary,3,yes,no,unknown,5,may,200
24,student,single,secondary,82,yes,no,unknown,5,may,204
42,blue-collar,divorced,primary,28,yes,no,unknown,5,may,126
57,technician,married,secondary,792,yes,no,unknown,5,may,65
42,blue-collar,married,unknown,408,yes,no,unknown,5,may,107
51,admin.,married,secondary,531,yes,no,unknown,5,may,267
57,retired,married,secondary,211,yes,no,unknown,5,may,248
36,services,single,secondary,62,yes,no,unknown,5,may,215
53,services,married,unknown,257,yes,no,unknown,5,may,209
50,technician,married,secondary,1234,yes,no,unknown,5,may,205
54,management,married,tertiary,313,yes,no,unknown,5,may,83
55,blue-collar,married,secondary,89,yes,no,unknown,5,may,106
44,blue-collar,married,secondary,129,yes,yes,unknown,5,may,189
43,management,married,unknown,0,yes,no,unknown,5,may,105
56,admin.,married,secondary,353,yes,no,unknown,5,may,106
54,technician,married,unknown,851,yes,no,unknown,5,may,108
55,services,divorced,primary,96,yes,yes,unknown,5,may,311
37,services,divorced,secondary,398,yes,yes,unknown,5,may,214
33,admin.,single,tertiary,193,no,no,unknown,5,may,132
46,admin.,married,secondary,-358,yes,no,unknown,5,may,358
36,blue-collar,married,secondary,539,yes,yes,unknown,5,may,453
51,technician,single,secondary,0,yes,no,unknown,5,may,364
40,retired,single,primary,0,no,no,unknown,5,may,136
42,blue-collar,married,secondary,490,yes,no,unknown,5,may,386
51,blue-collar,married,secondary,0,yes,no,unknown,5,may,173
49,blue-collar,married,unknown,403,yes,no,unknown,5,may,241
48,management,married,secondary,161,yes,no,unknown,5,may,224
32,technician,divorced,tertiary,2558,no,no,unknown,5,may,148
31,admin.,single,secondary,98,yes,no,unknown,5,may,196
55,management,single,tertiary,115,no,no,unknown,5,may,111
40,blue-collar,single,secondary,436,yes,no,unknown,5,may,231
47,technician,married,tertiary,831,yes,no,unknown,5,may,316
57,technician,married,unknown,206,yes,no,unknown,5,may,216
41,blue-collar,married,secondary,290,yes,no,unknown,5,may,240
48,blue-collar,married,secondary,1,no,no,unknown,5,may,669
42,blue-collar,married,unknown,57,yes,no,unknown,5,may,425
30,blue-collar,single,secondary,-457,yes,no,unknown,5,may,143
58,management,single,tertiary,1387,yes,no,unknown,5,may,174
45,management,divorced,tertiary,24598,yes,no,unknown,5,may,313
49,blue-collar,married,secondary,30,yes,no,unknown,5,may,135
42,admin.,single,secondary,1022,yes,no,unknown,5,may,146
53,technician,married,secondary,56,yes,yes,unknown,5,may,152
51,admin.,single,secondary,-2,no,no,unknown,5,may,402
32,services,single,secondary,121,yes,no,unknown,5,may,213
41,blue-collar,single,secondary,842,yes,no,unknown,5,may,144
43,management,divorced,secondary,693,yes,no,unknown,5,may,124
40,blue-collar,divorced,secondary,-333,yes,no,unknown,5,may,183
50,blue-collar,married,primary,1533,yes,no,unknown,5,may,325
34,management,married,tertiary,46,yes,no,unknown,5,may,39
53,services,married,unknown,18,no,no,unknown,5,may,503
45,technician,married,secondary,44,yes,no,unknown,5,may,95
39,blue-collar,married,primary,-100,yes,no,unknown,5,may,680
44,services,married,tertiary,510,yes,no,unknown,5,may,421
55,management,married,tertiary,685,yes,no,unknown,5,may,174
46,management,single,tertiary,187,yes,no,unknown,5,may,113
45,blue-collar,married,secondary,66,yes,no,unknown,5,may,808
34,admin.,married,secondary,560,yes,no,unknown,5,may,198
36,blue-collar,married,secondary,0,yes,no,unknown,5,may,195
59,unknown,divorced,unknown,27,no,no,unknown,5,may,347
31,admin.,single,secondary,12,yes,no,unknown,5,may,208
44,blue-collar,single,secondary,34,yes,no,unknown,5,may,404
33,entrepreneur,single,tertiary,1068,yes,no,unknown,5,may,396
40,blue-collar,married,secondary,211,yes,no,unknown,5,may,216
46,admin.,single,tertiary,377,yes,no,unknown,5,may,98
48,management,married,tertiary,263,yes,no,unknown,5,may,350
42,services,married,secondary,1263,yes,no,unknown,6,may,114
27,services,married,secondary,8,yes,no,unknown,6,may,88
48,admin.,married,secondary,126,yes,yes,unknown,6,may,379
59,admin.,married,secondary,230,yes,no,unknown,6,may,190
46,technician,married,tertiary,841,yes,no,unknown,6,may,158
38,admin.,divorced,secondary,308,yes,no,unknown,6,may,102
43,management,divorced,tertiary,1,yes,no,unknown,6,may,306
38,admin.,divorced,tertiary,86,yes,no,unknown,6,may,218
23,student,single,secondary,157,yes,no,unknown,6,may,54
34,services,married,secondary,22,yes,no,unknown,6,may,344
38,admin.,married,secondary,46,yes,yes,unknown,6,may,195
37,blue-collar,married,secondary,1293,no,no,unknown,6,may,652
25,admin.,single,secondary,122,yes,no,unknown,6,may,286
48,blue-collar,married,unknown,131,yes,no,unknown,6,may,189
49,blue-collar,single,secondary,143,yes,no,unknown,6,may,83
38,admin.,single,secondary,393,no,no,unknown,6,may,184
43,blue-collar,married,primary,98,yes,no,unknown,6,may,235
33,management,married,tertiary,0,yes,no,unknown,6,may,290
55,blue-collar,married,secondary,224,yes,no,unknown,6,may,232
38,blue-collar,married,secondary,757,yes,no,unknown,6,may,133
49,services,married,secondary,245,yes,yes,unknown,6,may,318
40,management,married,secondary,8486,no,no,unknown,6,may,260
43,admin.,married,unknown,350,no,no,unknown,6,may,437
38,blue-collar,married,secondary,20,yes,no,unknown,6,may,402
58,services,married,secondary,1667,yes,yes,unknown,6,may,85
57,technician,married,unknown,345,yes,no,unknown,6,may,125
32,unemployed,married,secondary,10,yes,no,unknown,6,may,501
56,management,married,tertiary,830,yes,yes,unknown,6,may,1201
58,blue-collar,divorced,unknown,29,yes,no,unknown,6,may,253
60,retired,divorced,secondary,545,yes,no,unknown,6,may,1030
37,technician,married,tertiary,8730,yes,no,unknown,6,may,149
46,technician,divorced,tertiary,477,yes,no,unknown,6,may,114
27,admin.,married,secondary,4,yes,no,unknown,6,may,243
43,blue-collar,married,secondary,1205,yes,no,unknown,6,may,769
32,technician,single,secondary,0,yes,yes,unknown,6,may,135
40,admin.,single,secondary,263,yes,no,unknown,6,may,231
38,admin.,married,secondary,1,no,no,unknown,6,may,76
34,blue-collar,married,secondary,283,no,yes,unknown,6,may,199
47,blue-collar,married,primary,206,yes,no,unknown,6,may,152
42,housemaid,married,primary,17,yes,no,unknown,6,may,124
48,technician,married,secondary,141,yes,yes,unknown,6,may,424
29,self-employed,single,tertiary,16,yes,no,unknown,6,may,43
50,services,married,secondary,206,yes,no,unknown,6,may,154
52,technician,married,unknown,7,no,no,unknown,6,may,203
50,management,married,tertiary,0,no,no,unknown,6,may,326
58,retired,married,tertiary,0,no,no,unknown,6,may,393
46,blue-collar,divorced,primary,1927,yes,no,unknown,6,may,241
38,technician,married,secondary,284,yes,no,unknown,6,may,483
46,blue-collar,married,secondary,1660,yes,no,unknown,6,may,259
32,services,single,secondary,406,yes,no,unknown,6,may,227
51,blue-collar,married,primary,230,yes,no,unknown,6,may,673
39,admin.,single,secondary,-25,yes,no,unknown,6,may,576
48,admin.,married,secondary,182,yes,no,unknown,6,may,180
36,entrepreneur,married,tertiary,1169,yes,no,unknown,6,may,168
34,admin.,divorced,secondary,67,yes,no,unknown,6,may,90
40,technician,married,secondary,77,no,no,unknown,6,may,505
43,unemployed,married,secondary,0,yes,no,unknown,6,may,245
52,blue-collar,divorced,primary,55,yes,yes,unknown,6,may,186
33,technician,married,secondary,72,yes,no,unknown,6,may,623
49,management,single,tertiary,163,yes,no,unknown,6,may,496
32,management,single,tertiary,151,yes,no,unknown,6,may,118
39,admin.,single,secondary,113,yes,no,unknown,6,may,342
40,blue-collar,married,secondary,0,yes,no,unknown,6,may,225
38,technician,single,tertiary,9,yes,no,unknown,6,may,185
43,management,married,secondary,375,yes,no,unknown,6,may,196
39,services,married,secondary,1142,yes,no,unknown,6,may,276
54,blue-collar,married,primary,2102,yes,no,unknown,6,may,76
38,technician,single,tertiary,4325,yes,no,unknown,6,may,87
40,blue-collar,married,secondary,217,yes,no,unknown,6,may,195
55,admin.,married,secondary,131,yes,no,unknown,6,may,744
42,management,married,tertiary,1680,yes,no,unknown,6,may,765
39,blue-collar,married,secondary,0,yes,no,unknown,6,may,262
40,blue-collar,married,primary,46,yes,no,unknown,6,may,119
32,blue-collar,married,secondary,320,yes,no,unknown,6,may,198
55,admin.,married,secondary,183,yes,no,unknown,6,may,150
45,blue-collar,married,secondary,39,no,no,unknown,6,may,241
35,management,single,tertiary,560,yes,no,unknown,6,may,181
58,technician,divorced,secondary,469,no,no,unknown,6,may,196
35,admin.,married,secondary,530,yes,no,unknown,6,may,149
49,services,married,primary,61,yes,no,unknown,6,may,246
34,technician,single,tertiary,242,yes,no,unknown,6,may,112
36,blue-collar,married,secondary,139,yes,no,unknown,6,may,309
24,self-employed,single,secondary,0,yes,no,unknown,6,may,278
34,technician,married,secondary,367,yes,no,unknown,6,may,140
51,admin.,divorced,secondary,228,yes,no,unknown,6,may,136
39,technician,single,unknown,45248,yes,no,unknown,6,may,1623
50,self-employed,married,unknown,-84,yes,no,unknown,6,may,101
32,services,single,secondary,310,yes,no,unknown,6,may,144
42,blue-collar,married,unknown,132,yes,no,unknown,6,may,238
50,technician,married,secondary,797,yes,no,unknown,6,may,354
40,services,married,secondary,71,no,no,unknown,6,may,79
46,management,divorced,unknown,2,yes,no,unknown,6,may,187
37,management,married,tertiary,231,yes,yes,unknown,6,may,451
34,blue-collar,married,secondary,270,yes,yes,unknown,6,may,159
44,blue-collar,married,secondary,274,yes,yes,unknown,6,may,409
40,admin.,single,secondary,-109,yes,yes,unknown,6,may,170
37,technician,married,secondary,1,yes,no,unknown,6,may,608
33,blue-collar,single,secondary,-60,no,no,unknown,6,may,243
35,blue-collar,married,secondary,89,yes,no,unknown,6,may,145
58,blue-collar,divorced,secondary,-11,no,no,unknown,6,may,112
39,blue-collar,married,primary,0,yes,no,unknown,6,may,262
43,blue-collar,married,secondary,-509,yes,no,unknown,6,may,124
39,unemployed,married,primary,408,yes,no,unknown,6,may,53
36,services,single,primary,58,yes,no,unknown,6,may,134
57,retired,single,secondary,1640,no,yes,unknown,6,may,204
36,admin.,single,secondary,20,yes,no,unknown,6,may,186
50,blue-collar,married,primary,71,yes,no,unknown,6,may,678
55,blue-collar,married,secondary,52,yes,no,unknown,6,may,182
44,self-employed,married,tertiary,292,yes,no,unknown,6,may,162
44,services,divorced,secondary,424,yes,no,unknown,6,may,27
39,housemaid,single,primary,109,yes,no,unknown,6,may,699
46,blue-collar,married,unknown,1044,yes,no,unknown,6,may,43
